type,platform,title,url,snippet,collected_at
industry,web,Airbnb在台前途未卜- Taiwan Business TOPICS 工商雜誌,https://topics.amcham.com.tw/2016/12/airbnb%E5%9C%A8%E5%8F%B0%E5%89%8D%E9%80%94%E6%9C%AA%E5%8D%9C/,,2026-06-09
industry,web,Airbnb的崛起，並非百益而無害：稅務公平、租屋市場都須放入考量,https://www.thenewslens.com/article/29417,,2026-06-09
industry,web,中華民國住宅學會的報告,https://www.housing.org.tw/sites/default/files/journal_file/2023-12/%E5%85%B1%E4%BA%AB%E4%BD%8F%E5%AE%BF%E5%B0%B9%E6%96%BC%E5%8F%B0%E7%81%A3%E6%88%BF%E5%B1%8B%E5%B8%82%E5%A0%B4%E4%B9%8B%E5%83%B9%E9%87%8F%E5%BD%B1%E9%9F%BF.pdf,,2026-06-09
industry,web,交通部觀光署,https://www.taiwan.net.tw/main_ch/index.aspx,,2026-06-09
industry,web,經濟衰退危機逼近Airbnb獲利卻逆風高飛 - 電子商務時報,https://www.ectimes.org.tw/2022/11/%E7%B6%93%E6%BF%80%E8%A1%B0%E9%80%BC%E5%8D%B1%E6%A9%9F%E9%80%BC%E8%BF%91-airbnb%E7%8D%B2%E5%88%A9%E5%8D%BB%E9%80%86%E9%A3%9B%E9%AB%98%E9%A3%9B/,,2026-06-09
community,INSTAGRAM,Airbnb 市場顯示在即將來臨的奧運之前周遭的短租房源還有中租房間 ...,https://www.instagram.com/reel/DXwnI5LCvsU/,,2026-06-09
industry,web,世界旅遊觀光委員會 (WTTC),https://wttc.org/,,2026-06-09
industry,web,行政院國家永續發展委員會,https://nsdn.ndc.gov.tw/,,2026-06-09
industry,web,行政院主計總處,https://www.dgbas.gov.tw/lp.asp?ctNode=3286&CtUnit=100&BaseDSD=7&mp=1,,2026-06-09
industry,web,OECD,https://www.oecd.org/digital/digital-transformation/,,2026-06-09
industry,web,勞動部勞動力發展署,https://www.wda.gov.tw/cp.aspx?n=80C1402324911F5F,,2026-06-09
industry,web,交通部觀光署,https://www.taiwan.net.tw/m1.aspx?sNo=0000001,,2026-06-09
industry,web,聯合國世界觀光組織（UNWTO）,https://www.unwto.org/sustainable-development,,2026-06-09
industry,web,環境部,https://www.moenv.gov.tw/,,2026-06-09
industry,web,世界觀光旅遊理事會（WTTC）,https://wttc.org/initiatives/sustainable-tourism,,2026-06-09
industry,web,行政院國家永續發展委員會,https://nsdn.ndc.gov.tw/Content_List.aspx?n=E5A447604F5474D9,,2026-06-09
industry,web,交通部,https://www.motc.gov.tw/ch/index.jsp,,2026-06-09
industry,web,外交部,https://www.mofa.gov.tw/default.html,,2026-06-09
industry,web,APEC,https://www.apec.org/about-us/about-apec/overview,,2026-06-09
industry,web,國家發展委員會,https://www.ndc.gov.tw/Content_List.aspx?n=0775533132D55B2E,,2026-06-09
industry,web,行政院,https://www.ey.gov.tw/cp.aspx?n=80C379059F9C3E1F,,2026-06-09
industry,web,經濟衰退危機逼近Airbnb獲利卻逆風高飛 - 電子商務時報,https://www.ectimes.org.tw/2022/11/%E7%B6%93%E6%BF%9F%E8%A1%B0%E9%80%80%E5%8D%B1%E6%A9%9F%E9%80%BC%E8%BF%91-airbnb%E7%8D%B2%E5%88%A9%E5%8D%BB%E9%80%86%E9%A2%A8%E9%AB%98%E9%A3%9B/,,2026-06-09
industry,web,【個股關鍵數據】旅遊股還可以買嗎？前景如何？帶你看最具潛力的 ...,https://blog.growin.tv/travel-stock-airbnb/,,2026-06-09
industry,web,2022Q1.旅遊復甦觀察報告 - JGB Property,https://www.jgbsmart.com/help/post/airbnb_expedia2022Q1financilresults,,2026-06-09
industry,web,開啟旅遊新時代：Airbnb 分享後疫情的旅遊新常態,https://news.airbnb.com/zh-tw/travel-recovery-in-taiwan/,,2026-06-09
