type,platform,title,url,snippet,collected_at
industry,web,2026年台灣國籍航空飛向何方全解析！ 強化航線、機隊擴張 - TTN 旅報,https://www.ttnmedia.com/?p=132145,,2026-06-09
industry,web,解封旅遊潮帶動廉價航空復甦虎航全方位搶佔市場但這問題待留意,https://www.i-buzz.com.tw/article/index.php/article?atype=brandranking&id=232,,2026-06-09
industry,web,航空產業2024-2026 專業人才需求推估調查,https://ws.ndc.gov.tw/001/administrator/18/relfile/6037/9797/2fa6df1f-1f8e-45cb-af99-15a4136e0ae2.pdf,,2026-06-09
industry,web,2025年低成本航空公司市場規模、份額及成長預測 - Research Nester,https://www.researchnester.com/tw/reports/low-cost-carrier-market/7209,,2026-06-09
industry,web,2026年全球廉價航空公司市場報告,https://www.gii.tw/report/tbrc2000021-low-cost-carrier-global-market-report.html,,2026-06-09
industry,web,迎向2026年業者：航空客貨運穩健、海運變數多|半導體|產業新聞,https://ieknet.iek.org.tw/ieknews/news_more.aspx?nsl_id=ffb187629cd4217b96dbdd8f77a5b9a,,2026-06-09
industry,web,IATA,https://www.iata.org/,,2026-06-09
industry,web,交通部觀光署,https://www.taiwan.net.tw/main.aspx,,2026-06-09
industry,web,民用航空局,https://www.caa.gov.tw/,,2026-06-09
industry,web,迎向2026年業者：航空客貨運穩健、海運變數多|半導體|產業新聞,https://ieknet.iek.org.tw/ieknews/news_more.aspx?nsl_id=ffb1887629cd4217b96dbdd8f77a5b9a,,2026-06-09
